Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Austro-Prussian War,1994.0,61,348.0,3.08,Hexagon Grid
Across the Potomac,1994.0,97,434.0,2.44,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
A Famous Victory,1994.0,75,292.0,3.57,"Chit-Pull System, Hexagon Grid, Simulation"
Fury of the Clansmen,1994.0,95,274.0,2.75,"Cooperative Game, Modular Board"
Ransom,1994.0,77,133.0,1.63,"Auction/Bidding, Memory, Trading"
Avalanche: The Invasion of Italy,1994.0,80,352.0,3.0,Hexagon Grid
"Fugger, Welser, Medici",1994.0,65,151.0,3.5,"Auction/Bidding, Commodity Speculation, Pick-up and Deliver, Trading"
The Hobbit Adventure Boardgame,1994.0,304,702.0,1.82,Roll / Spin and Move
Das Regeln Wir Schon!,1994.0,59,169.0,2.17,
Pro Action Football,1994.0,115,174.0,1.14,"Action Points, Point to Point Movement, Simulation"
The Oilman Game,1994.0,94,128.0,2.5,"Auction/Bidding, Commodity Speculation, Team-Based Game"
More Backpacks and Blisters,1994.0,56,137.0,1.29,"Hand Management, Pick-up and Deliver, Point to Point Movement, Simulation"
Category Game,1994.0,48,108.0,1.4,
When Tigers Fight,1994.0,88,436.0,3.0,Hexagon Grid
6 nimmt! Schnupperspiel,1994.0,34,86.0,0.0,"Hand Management, Simultaneous Action Selection"
Eagles of the Empire: Borodino,1994.0,57,225.0,2.75,"Area Movement, Dice Rolling"
Fatal Alliances II,1994.0,48,103.0,3.71,"Dice Rolling, Hexagon Grid"
Dixie: Shiloh,1994.0,174,419.0,2.35,"Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Secret Unit Deployment"
Les Dieux Nomades,1994.0,35,148.0,3.67,Hexagon Grid
Crusades II,1994.0,62,196.0,2.0,Hexagon Grid
Campaign for Guadalcanal: Long Lance & Henderson Field,1994.0,39,163.0,2.38,Hexagon Grid
Volley & Bayonet,1994.0,43,111.0,2.56,"Dice Rolling, Line of Sight, Paper-and-Pencil, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation"
1899,1994.0,51,106.0,4.2,"Network and Route Building, Stock Holding, Tile Placement"
Monster Derby,1994.0,135,324.0,2.29,Variable Player Powers
Hunters from the Sky,1994.0,111,563.0,3.23,"Dice Rolling, Hexagon Grid, Simulation"
Titan Legions,1994.0,120,270.0,2.58,"Dice Rolling, Modular Board, Point to Point Movement, Secret Unit Deployment, Variable Phase Order, Variable Player Powers"
Olympia 2000 (v. Chr.),1994.0,265,432.0,1.38,Simultaneous Action Selection
Kapitän Wackelpudding,1994.0,201,192.0,1.1,"Pick-up and Deliver, Point to Point Movement, Stacking and Balancing"
Mexican Train,1994.0,1938,3371.0,1.27,Tile Placement
Britain Stands Alone,1994.0,135,557.0,3.21,Hexagon Grid
Falsche FuFFziger,1994.0,127,302.0,2.55,Auction/Bidding
Triumphant Fox: Rommel's Finest Hour,1994.0,63,268.0,3.91,"Dice Rolling, Hexagon Grid"
Rapidough,1994.0,212,471.0,1.14,"Pattern Building, Pattern Recognition"
1914: Glory's End,1994.0,127,494.0,2.56,"Dice Rolling, Hexagon Grid, Simulation"
Word Thief,1994.0,218,636.0,1.86,Set Collection
Stonehenge,1994.0,130,279.0,1.86,Area Majority / Influence
Age of Exploration,1994.0,186,483.0,3.06,Push Your Luck
Like Lions They Fought,1994.0,95,466.0,2.58,"Dice Rolling, Hexagon Grid"
Battle Dome,1994.0,132,207.0,1.0,
Budapest '45,1994.0,106,481.0,2.42,Hexagon Grid
Kuba,1994.0,146,303.0,1.9,Grid Movement
Days of Decision II,1994.0,115,276.0,3.67,"Area-Impulse, Dice Rolling, Simulation"
Waldmeister,1994.0,127,233.0,2.33,"Auction/Bidding, Tile Placement"
MedFront: War in North Africa 1940-43,1994.0,119,398.0,3.16,"Dice Rolling, Grid Movement, Hexagon Grid, Secret Unit Deployment, Simulation"
Decision in France,1994.0,57,191.0,3.0,Hexagon Grid
Overpower,1995.0,448,720.0,1.88,"Hand Management, Variable Player Powers"
The Hundred Years War,1995.0,45,286.0,3.43,"Area Majority / Influence, Area Movement, Hexagon Grid, Simulation"
Golf the Perfect Game,1995.0,47,94.0,1.17,"Hand Management, Simulation"
Playoff One-On-One Hockey Challenge,1995.0,30,74.0,2.5,"Card Drafting, Dice Rolling"
Tiles,1995.0,31,69.0,1.0,Tile Placement
Balkan Hell,1995.0,43,257.0,2.5,Hexagon Grid
Mad Monks and Relics,1995.0,34,76.0,2.5,"Dice Rolling, Events, Lose a Turn, Point to Point Movement, Race, Set Collection, Take That, Trading, Variable Player Powers"
Emperor's First Battles,1995.0,48,175.0,2.33,Hexagon Grid
Rommel at Gazala,1995.0,41,255.0,2.44,"Dice Rolling, Hexagon Grid"
Hijara,1995.0,45,108.0,1.5,Pattern Building
Burp,1995.0,110,244.0,1.67,"Rock-Paper-Scissors, Worker Placement"
