Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Senet,-3500.0,664,1343.0,1.48,"Dice Rolling, Roll / Spin and Move"
Backgammon,-3000.0,11680,17747.0,2.02,"Advantage Token, Betting and Bluffing, Dice Rolling, Roll / Spin and Move, Track Movement"
Marbles,-3000.0,473,399.0,1.1,Flicking
The Royal Game of Ur,-2600.0,549,1162.0,1.31,"Dice Rolling, Roll / Spin and Move, Square Grid, Static Capture"
Go,-2200.0,14843,20398.0,4.0,"Enclosure, Square Grid"
Nine Men's Morris,-1400.0,1310,1642.0,1.84,"Pattern Building, Point to Point Movement"
Three Men's Morris,-1400.0,60,60.0,1.25,"Pattern Building, Point to Point Movement"
Tic-Tac-Toe,-1300.0,3275,1374.0,1.16,"Paper-and-Pencil, Pattern Building"
Chutes and Ladders,-200.0,3783,4400.0,1.02,"Dice Rolling, Grid Movement, Race, Roll / Spin and Move, Square Grid"
Petteia,-100.0,51,93.0,2.17,"Action Queue, Area Majority / Influence"
Hnefatafl,400.0,1203,2448.0,2.55,"Grid Movement, Square Grid, Variable Player Powers"
Pachisi,400.0,4476,7349.0,1.21,"Dice Rolling, Race, Roll / Spin and Move, Static Capture, Team-Based Game"
Yut Nori,500.0,105,209.0,1.33,Roll / Spin and Move
Oware,550.0,352,545.0,2.14,Mancala
Mia,600.0,137,122.0,1.17,"Betting and Bluffing, Dice Rolling"
Chaturanga,650.0,98,302.0,2.25,"Dice Rolling, Grid Movement, Player Elimination"
Go-Moku,700.0,595,518.0,1.88,Pattern Building
Kalah,700.0,5932,11063.0,1.62,Mancala
Xiangqi,762.0,1884,2884.0,3.59,Grid Movement
Alquerque,1000.0,99,176.0,1.91,Grid Movement
Bagh Chal,1000.0,215,398.0,2.42,"Grid Movement, Variable Player Powers"
Craps,1125.0,284,183.0,1.79,"Betting and Bluffing, Dice Rolling"
Checkers,1150.0,7182,8701.0,1.77,"Grid Movement, Pattern Movement, Square Grid, Static Capture"
Chu Shogi,1300.0,31,38.0,4.25,Grid Movement
Fox and Geese,1400.0,260,433.0,1.55,"Grid Movement, Point to Point Movement, Square Grid, Static Capture, Variable Player Powers"
Spanish Checkers,1400.0,38,37.0,1.5,
Italian Checkers,1400.0,60,76.0,1.67,
Turkish Checkers,1400.0,49,60.0,2.5,
Tarock,1425.0,156,233.0,3.53,"Hand Management, Trick-taking"
Tarot,1425.0,712,1379.0,2.45,"Auction/Bidding, Team-Based Game, Trick-taking"
Pochspiel,1441.0,35,118.0,1.33,Betting and Bluffing
Chess,1475.0,28745,40068.0,3.7,"Grid Movement, Pattern Movement, Square Grid, Static Capture"
Dominoes,1500.0,5894,11311.0,1.38,"Pattern Building, Pattern Recognition, Team-Based Game, Tile Placement"
Dreidel,1500.0,106,146.0,1.0,Betting and Bluffing
Bingo,1530.0,2154,1533.0,1.05,"Betting and Bluffing, Bingo, Pattern Recognition"
Lotto,1530.0,249,403.0,1.26,
Piquet,1534.0,77,85.0,2.5,"Set Collection, Trick-taking"
Charades,1550.0,494,352.0,1.1,Acting
Shogi,1587.0,1544,2603.0,3.82,"Grid Movement, Hand Management, Pattern Movement, Square Grid"
Game of Goose,1587.0,766,930.0,1.07,"Dice Rolling, Events, Lose a Turn, Race, Roll / Spin and Move, Track Movement"
Jeu du Nain Jaune,1600.0,69,152.0,1.6,"Betting and Bluffing, Memory"
International Checkers,1600.0,245,289.0,2.33,"Grid Movement, Square Grid"
Pitch,1600.0,251,195.0,1.77,Trick-taking
Scopa,1600.0,821,1541.0,1.51,"Hand Management, Memory, Set Collection, Team-Based Game"
Cribbage,1630.0,8302,12471.0,1.9,Hand Management
Whist,1663.0,455,352.0,2.03,"Team-Based Game, Trick-taking"
Fanorona,1680.0,219,285.0,2.59,Grid Movement
Shashki,1680.0,30,32.0,1.8,
Solitaire,1687.0,965,1271.0,1.51,Point to Point Movement
Tablut,1700.0,180,274.0,2.5,"Grid Movement, Point to Point Movement"
Blackjack,1700.0,1568,596.0,1.5,"Betting and Bluffing, Push Your Luck"
Hanafuda,1701.0,726,1966.0,1.71,"Hand Management, Push Your Luck, Set Collection"
Schnapsen,1715.0,235,234.0,2.08,"Memory, Trick-taking"
Kille,1741.0,36,99.0,1.0,Betting and Bluffing
Hoyle's Games,1742.0,70,167.0,3.33,"Betting and Bluffing, Card Drafting, Dice Rolling, Team-Based Game"
Mus,1745.0,437,415.0,2.25,"Betting and Bluffing, Team-Based Game"
Shut the Box,1750.0,1187,2594.0,1.08,Dice Rolling
Mercante in Fiera,1755.0,61,129.0,1.33,Auction/Bidding
Konane,1775.0,58,145.0,2.0,"Grid Movement, Square Grid, Static Capture"
Schafkopf,1780.0,276,375.0,2.61,"Auction/Bidding, Team-Based Game, Trick-taking"
Patience,1783.0,377,219.0,1.27,"Pattern Building, Solo / Solitaire Game"
Skittle-Bowl,1783.0,83,160.0,1.2,
Roulette,1796.0,760,548.0,1.13,Betting and Bluffing
Jass,1796.0,129,187.0,2.8,Trick-taking
Napoleon,1800.0,30,33.0,2.14,"Auction/Bidding, Secret Unit Deployment, Team-Based Game, Trick-taking"
Briscola Chiamata,1800.0,63,39.0,2.0,"Auction/Bidding, Hidden Roles, Team-Based Game, Trick-taking"
Briscola,1800.0,410,377.0,1.61,"Team-Based Game, Trick-taking"
Perudo,1800.0,12606,16159.0,1.26,"Betting and Bluffing, Dice Rolling, Player Elimination"
Casino,1800.0,281,183.0,1.4,"Hand Management, Set Collection"
Skittles,1801.0,102,172.0,1.0,
Preference,1802.0,77,70.0,3.31,"Auction/Bidding, Betting and Bluffing, Trick-taking"
Asalto,1803.0,74,162.0,1.86,"Grid Movement, Point to Point Movement"
Poker,1810.0,9276,7978.0,2.45,"Betting and Bluffing, Player Elimination, Set Collection"
Skat,1810.0,1001,1413.0,3.07,"Auction/Bidding, Team-Based Game, Trick-taking"
Bagatelle,1819.0,63,60.0,1.0,
The von Reisswitz Kriegsspiel: The Prussian Army Wargame,1824.0,33,76.0,3.67,"Secret Unit Deployment, Simulation, Team-Based Game"
Écarté,1825.0,40,44.0,2.13,"Betting and Bluffing, Push Your Luck, Trick-taking"
Sheepshead,1830.0,76,72.0,3.0,"Hand Management, Team-Based Game, Trick-taking"
Shove Ha'penny,1840.0,44,77.0,1.33,
Euchre,1848.0,2245,1644.0,1.69,"Team-Based Game, Trick-taking"
Mahjong,1850.0,6456,9160.0,2.57,"Hand Management, Set Collection"
Hearts,1850.0,3829,2028.0,1.77,Trick-taking
The Game of Crown and Anchor,1850.0,38,131.0,1.25,"Betting and Bluffing, Dice Rolling"
Pick Up Sticks,1850.0,2232,2753.0,1.05,"Physical Removal, Push Your Luck, Set Collection, Take That"
Happy Families,1851.0,253,635.0,1.06,Set Collection
Bunco,1855.0,272,631.0,1.09,"Dice Rolling, Paper-and-Pencil, Team-Based Game"
GOITA,1860.0,158,267.0,1.7,"Hand Management, Team-Based Game"
Bezique,1860.0,78,129.0,2.33,"Set Collection, Trick-taking"
The Game of Authors,1861.0,216,563.0,1.03,"Hand Management, Memory, Set Collection"
Pinochle,1864.0,951,1098.0,2.3,"Auction/Bidding, Melding and Splaying, Trick-taking"
Snap,1866.0,208,454.0,1.15,Pattern Recognition
Sjoelen,1870.0,311,262.0,1.17,
Old Maid,1874.0,1405,2021.0,1.05,"Hand Management, Hot Potato, Set Collection"
Crokinole,1876.0,12197,10561.0,1.25,"Flicking, Team-Based Game"
4 Player Chess,1881.0,421,813.0,2.9,"Grid Movement, Player Elimination, Square Grid, Static Capture"
Othello,1883.0,7040,10960.0,2.1,"Enclosure, Tile Placement"
Halma,1884.0,229,475.0,1.82,"Grid Movement, Race, Square Grid"
42,1885.0,174,143.0,2.2,"Auction/Bidding, Team-Based Game, Trick-taking"
Rummy,1887.0,1452,1538.0,1.42,"Melding and Splaying, Set Collection"
Loteria,1887.0,106,198.0,1.21,"Betting and Bluffing, Bingo, Modular Board"
Jack Straws,1888.0,159,394.0,1.0,
Tiddledy Winks,1888.0,611,734.0,1.1,
Go Stop,1889.0,186,296.0,2.17,"Hand Management, Push Your Luck, Set Collection"
Boxes,1889.0,208,146.0,1.51,"Enclosure, Paper-and-Pencil"
Gone Fishin',1890.0,119,240.0,1.0,Set Collection
Klaverjassen,1890.0,110,103.0,2.81,"Betting and Bluffing, Set Collection, Team-Based Game, Trick-taking"
Flying Hats,1890.0,104,208.0,1.0,
American Carrom,1892.0,144,305.0,1.22,
Chinese Checkers,1893.0,4157,5282.0,1.59,"Enclosure, Grid Movement, Point to Point Movement, Race, Team-Based Game"
Doppelkopf,1895.0,693,824.0,2.92,"Auction/Bidding, Team-Based Game, Trick-taking"
Salta,1899.0,33,84.0,2.67,
Tuppi,1900.0,36,22.0,2.6,Trick-taking
Schnipp Schnapp,1900.0,35,131.0,1.0,
1001,1900.0,31,15.0,2.0,"Auction/Bidding, Trick-taking"
Flinch,1903.0,415,1778.0,1.14,"Card Drafting, Memory, Set Collection"
Pit,1903.0,8287,14412.0,1.16,"Set Collection, Trading"
500,1904.0,468,371.0,2.04,"Team-Based Game, Trick-taking"
Touring,1906.0,214,815.0,1.22,"Set Collection, Take That"
Rook,1906.0,2543,7536.0,1.87,"Auction/Bidding, Card Drafting, Hand Management, Team-Based Game, Trick-taking"
Pirate and Traveler,1908.0,75,228.0,1.33,"Events, Pick-up and Deliver, Player Elimination, Point to Point Movement, Roll / Spin and Move, Team-Based Game"
L'Attaque,1909.0,49,94.0,1.33,"Rock-Paper-Scissors, Secret Unit Deployment"
Gin Rummy,1909.0,1210,742.0,1.7,Set Collection
Anagrams,1910.0,61,170.0,2.0,
Blow Football,1910.0,35,44.0,1.0,
Electro,1910.0,43,85.0,1.33,
Button Soccer,1911.0,66,66.0,1.85,"Area Majority / Influence, Simulation"
Laska,1911.0,85,166.0,2.57,Grid Movement
Little Wars,1913.0,57,133.0,3.0,"Measurement Movement, Simulation"
Mate,1915.0,53,59.0,2.38,Trick-taking
Uncle Wiggily,1916.0,316,619.0,1.03,Roll / Spin and Move
Dover Patrol,1919.0,63,122.0,2.11,"Grid Movement, Memory, Secret Unit Deployment, Square Grid"
Pogs,1920.0,225,170.0,1.38,Set Collection
Tipp-Kick,1921.0,435,682.0,1.23,
Bridge,1925.0,2891,1852.0,3.86,"Auction/Bidding, Hand Management, Predictive Bid, Team-Based Game, Trick-taking, Turn Order: Claim Action, Turn Order: Progressive"
Tri-Tactics,1925.0,69,120.0,2.5,Secret Unit Deployment
Elfer raus!,1925.0,501,1250.0,1.1,Hand Management
Cootie,1927.0,919,1309.0,1.02,"Dice Rolling, Set Collection"
Trap the Cap,1927.0,315,602.0,1.11,Roll / Spin and Move
Escalado,1929.0,56,123.0,1.4,"Betting and Bluffing, Simulation"
Sorry!,1929.0,5856,9740.0,1.16,"Roll / Spin and Move, Take That"
Contract Rummy,1930.0,136,92.0,1.85,"Hand Management, Set Collection"
Weltreise,1930.0,111,352.0,1.08,"Dice Rolling, Point to Point Movement, Roll / Spin and Move"
Oh Hell!,1930.0,1180,699.0,1.75,Trick-taking
Nertz,1930.0,366,486.0,1.25,Set Collection
Camelot,1930.0,275,801.0,2.35,"Grid Movement, Square Grid, Static Capture"
Belote,1930.0,224,216.0,2.57,"Team-Based Game, Trick-taking"
Barbu,1930.0,101,78.0,2.29,Trick-taking
Klabberjass,1930.0,31,29.0,2.75,"Set Collection, Trick-taking"
Tangrams Competitive Party Game,1930.0,30,73.0,0.0,Pattern Building
Wahoo,1930.0,60,94.0,1.25,"Roll / Spin and Move, Team-Based Game"
Po-Ke-No,1930.0,196,710.0,1.05,"Betting and Bluffing, Set Collection"
Battleships,1931.0,169,203.0,1.0,
Battleship,1931.0,8571,13196.0,1.22,"Paper-and-Pencil, Secret Unit Deployment"
Rod Hockey,1932.0,345,266.0,1.47,Simulation
Finance,1932.0,68,333.0,1.17,Roll / Spin and Move
The Laughing Pig,1932.0,40,111.0,1.0,"Dice Rolling, Set Collection"
Lexicon,1933.0,115,435.0,1.45,
Tell Me: The Grand Quiz Game,1933.0,283,627.0,1.14,Team-Based Game
Monopoly,1933.0,28999,40255.0,1.65,"Auction/Bidding, Income, Loans, Lose a Turn, Player Elimination, Roll / Spin and Move, Set Collection, Stock Holding, Track Movement, Trading"
Kan-U-Go,1934.0,51,176.0,1.57,
Slap Jack,1934.0,224,179.0,1.0,
El Palé,1935.0,88,131.0,1.8,"Auction/Bidding, Card Drafting, Dice Rolling, Roll / Spin and Move"
Deutschlandreise,1935.0,208,537.0,1.2,"Pick-up and Deliver, Point to Point Movement, Roll / Spin and Move"
Easy Money,1935.0,204,595.0,1.44,Roll / Spin and Move
Touring England,1935.0,39,88.0,1.0,"Dice Rolling, Network and Route Building, Roll / Spin and Move"
Capitaly,1935.0,57,103.0,1.67,"Roll / Spin and Move, Set Collection, Stock Holding, Trading"
Whot,1935.0,96,234.0,1.25,
Magic Robot Quiz Game,1935.0,39,94.0,1.0,Memory
Go to the Head of the Class,1936.0,320,622.0,1.22,Roll / Spin and Move
Das kaufmännische Talent,1936.0,109,258.0,1.25,"Auction/Bidding, Dice Rolling, Roll / Spin and Move, Trading"
Hexagonal Chess,1936.0,36,46.0,4.0,Grid Movement
Tripoley,1937.0,799,1968.0,1.48,Betting and Bluffing
Star Reporter,1937.0,34,49.0,2.0,Roll / Spin and Move
Stock Ticker,1937.0,385,600.0,1.52,"Commodity Speculation, Stock Holding"
American Mah Jongg,1937.0,55,148.0,2.0,Set Collection
BAS-KET,1938.0,122,156.0,1.0,
Autobridge,1938.0,47,215.0,2.75,Trick-taking
Speed,1938.0,79,130.0,1.11,Hand Management
Buccaneer,1938.0,331,608.0,1.4,"Pick-up and Deliver, Trading"
Totopoly,1938.0,412,781.0,1.93,"Auction/Bidding, Betting and Bluffing, Events, Modular Board, Roll / Spin and Move, Stock Holding"
Spades,1938.0,2094,1234.0,2.03,"Auction/Bidding, Predictive Bid, Team-Based Game, Trick-taking"
Canasta,1939.0,1166,1379.0,2.14,"Hand Management, Set Collection"
Michigan Rummy,1939.0,76,218.0,1.67,
Contack,1939.0,58,261.0,1.44,Tile Placement
Spare Time Bowling,1940.0,126,338.0,1.09,Dice Rolling
Game of the States,1940.0,184,470.0,1.41,"Pick-up and Deliver, Roll / Spin and Move"
Conflict,1940.0,92,267.0,1.38,"Alliances, Dice Rolling, Grid Movement, Roll / Spin and Move, Square Grid, Static Capture"
Machiavelli,1940.0,57,41.0,1.71,Hand Management
Rummoli,1940.0,238,529.0,1.22,Betting and Bluffing
Labyrinth,1940.0,1108,850.0,1.32,
All-Star Baseball,1941.0,159,302.0,1.31,"Card Drafting, Hand Management, Simulation, Variable Player Powers"
Foto-Electric Football,1941.0,38,85.0,1.13,Simultaneous Action Selection
Hex,1942.0,700,569.0,2.78,"Hexagon Grid, Network and Route Building"
Nok-Hockey,1942.0,49,69.0,1.0,
Estanciero,1942.0,64,80.0,2.33,"Auction/Bidding, Roll / Spin and Move, Set Collection, Trading"
Super Farmer,1943.0,1328,1960.0,1.14,"Dice Rolling, Push Your Luck, Set Collection"
Tjuv och polis,1943.0,208,268.0,1.55,"Dice Rolling, Roll / Spin and Move"
Jägersro,1945.0,171,233.0,1.88,"Betting and Bluffing, Stock Holding"
Stratego,1946.0,13826,23834.0,1.85,"Grid Movement, Memory, Secret Unit Deployment, Square Grid, Variable Set-up"
Rich Uncle,1946.0,76,204.0,1.31,"Commodity Speculation, Dice Rolling, Roll / Spin and Move, Simulation, Stock Holding"
Subbuteo,1947.0,1634,1953.0,1.84,"Flicking, Simulation"
Qubic,1947.0,203,600.0,1.56,"Paper-and-Pencil, Pattern Building"
Scrabble,1948.0,26734,47733.0,2.09,"End Game Bonuses, Hand Management, Square Grid, Tile Placement"
Electric Football,1948.0,231,207.0,1.47,"Action Queue, Simulation, Simultaneous Action Selection"
Clue,1949.0,17534,30807.0,1.66,"Deduction, Dice Rolling, Grid Movement, Memory, Roll / Spin and Move, Square Grid"
Subbuteo Cricket,1949.0,48,74.0,2.0,
Finans,1949.0,263,384.0,2.2,"Dice Rolling, Roll / Spin and Move, Stock Holding"
Candy Land,1949.0,4006,5788.0,1.08,Roll / Spin and Move
Park and Shop,1950.0,68,161.0,1.43,"Area Movement, Pick-up and Deliver, Roll / Spin and Move"
Stap op,1950.0,147,333.0,1.07,Set Collection
Contraband,1950.0,239,523.0,1.36,
Flutter,1950.0,91,137.0,1.67,"Commodity Speculation, Dice Rolling, Stock Holding"
Afrikan tähti,1951.0,1279,1462.0,1.09,"Point to Point Movement, Roll / Spin and Move"
APBA Pro Baseball,1951.0,273,465.0,1.91,"Dice Rolling, Simultaneous Action Selection"
Blockhead!,1952.0,282,504.0,1.05,
Wembley,1952.0,103,220.0,1.25,"Dice Rolling, Simulation"
The Merry Game of Floundering,1952.0,48,87.0,1.0,Dice Rolling
Stadium Checkers,1952.0,153,304.0,1.36,"Area Movement, Point to Point Movement"
The Game of Y,1953.0,108,124.0,2.5,"Connections, Paper-and-Pencil"
Skunk,1953.0,52,176.0,1.0,"Betting and Bluffing, Dice Rolling, Push Your Luck"
Scoop,1953.0,123,300.0,1.55,Set Collection
3D Tic Tac Toe,1953.0,106,160.0,1.25,"Pattern Building, Pattern Recognition, Set Collection"
Bondespelet,1953.0,301,402.0,1.63,"Dice Rolling, Roll / Spin and Move"
Explore Europe,1954.0,383,970.0,1.42,"Dice Rolling, Point to Point Movement, Roll / Spin and Move"
Mille Bornes,1954.0,7331,14944.0,1.25,"Hand Management, Take That, Team-Based Game"
Rome & Carthage,1954.0,144,335.0,2.13,"Point to Point Movement, Simultaneous Action Selection"
Astron,1954.0,47,68.0,1.0,"Card Drafting, Point to Point Movement"
Das Jagdspiel,1954.0,32,73.0,1.0,"Dice Rolling, Roll / Spin and Move"
Monopoly: Popular Edition,1954.0,30,56.0,1.0,"Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading"
Bali,1954.0,167,502.0,1.74,
Test Match,1955.0,40,47.0,1.0,Simulation
Sjörövarön,1955.0,105,148.0,1.38,Roll / Spin and Move
Bantu,1955.0,50,100.0,2.0,
Carla Cat,1955.0,596,1030.0,1.02,"Dice Rolling, Pattern Recognition"
Careers,1955.0,2262,4169.0,1.5,"Dice Rolling, Paper-and-Pencil, Roll / Spin and Move, Track Movement, Variable Player Powers"
Wide World,1956.0,83,263.0,1.33,"Bias, Pick-up and Deliver"
Wangaratta,1956.0,36,69.0,0.0,"Commodity Speculation, Pick-up and Deliver, Trading"
Jotto,1956.0,83,155.0,1.6,Paper-and-Pencil
Yahtzee,1956.0,11832,20650.0,1.19,"Dice Rolling, Paper-and-Pencil, Push Your Luck, Re-rolling and Locking, Set Collection"
Perquackey,1956.0,225,644.0,1.61,Dice Rolling
Rack-O,1956.0,2604,5519.0,1.2,Pattern Building
Eleusis,1956.0,184,184.0,2.93,"Induction, Pattern Recognition"
Troke,1956.0,58,222.0,2.14,Point to Point Movement
Spill and Spell,1956.0,133,440.0,1.28,Dice Rolling
Curious George Match-a-Balloon Game,1957.0,38,68.0,1.0,"Dice Rolling, Pattern Recognition, Set Collection"
Don't Spill the Beans,1957.0,335,507.0,1.16,
Scrabble Junior,1958.0,536,1825.0,1.41,Tile Placement
Concentration,1958.0,200,523.0,1.59,"Memory, Set Collection"
RSVP,1958.0,83,427.0,2.33,Tile Placement
Dispatcher,1958.0,50,247.0,2.63,Point to Point Movement
Why,1958.0,98,357.0,1.22,"Roll / Spin and Move, Set Collection, Trading"
Gettysburg,1958.0,312,959.0,2.33,"Dice Rolling, Grid Movement, Hexagon Grid, Measurement Movement, Paper-and-Pencil, Ratio / Combat Results Table, Simulation, Square Grid, Zone of Control"
APBA Pro Football,1958.0,144,266.0,2.25,"Dice Rolling, Simulation, Simultaneous Action Selection"
5ive Straight,1958.0,283,483.0,1.72,"Hand Management, Pattern Building, Take That"
Tactics II,1958.0,796,1974.0,2.05,"Dice Rolling, Grid Movement, Movement Points, Simulation, Square Grid"
Football Strategy,1959.0,410,852.0,1.56,"Dice Rolling, Memory, Paper-and-Pencil, Rock-Paper-Scissors, Simulation, Simultaneous Action Selection, Track Movement"
Piratenbillard,1959.0,387,277.0,1.25,
Diplomacy,1959.0,12105,20189.0,3.36,"Area Majority / Influence, Area Movement, Negotiation, Player Elimination, Prisoner's Dilemma, Simultaneous Action Selection"
Royalty,1959.0,57,177.0,1.8,"Hand Management, Set Collection, Team-Based Game"
U-Boat,1959.0,71,298.0,2.3,"Action Queue, Dice Rolling, Grid Movement, Simulation, Square Grid"
Die grosse Auktion,1959.0,40,126.0,1.5,"Auction/Bidding, Set Collection, Trading"
Yum,1959.0,119,248.0,1.14,Dice Rolling
Long Cours,1959.0,64,208.0,1.8,"Point to Point Movement, Trading"
The Rolling Moon,1959.0,47,108.0,1.14,
Risk,1959.0,30235,47143.0,2.08,"Area Movement, Dice Rolling, Player Elimination, Set Collection"
Memory,1959.0,2480,4033.0,1.16,"Memory, Set Collection, Team-Based Game"
Yacht Race,1960.0,114,169.0,2.0,"Action Points, Action Queue, Bias"
The Game of Life,1960.0,10658,16692.0,1.18,"Roll / Spin and Move, Simulation"
Hi Ho! Cherry-O,1960.0,1035,1691.0,1.03,"Cooperative Game, Roll / Spin and Move"
Gazdálkodj Okosan!,1960.0,197,283.0,1.31,"Roll / Spin and Move, Set Collection, Trading"
Bughouse Chess,1960.0,335,174.0,2.83,"Grid Movement, Team-Based Game"
Malefiz,1960.0,1036,1900.0,1.2,Roll / Spin and Move
Oil: The Great Adventure,1960.0,214,520.0,2.0,"Commodity Speculation, Point to Point Movement, Roll / Spin and Move, Stock Holding"
Barbie Queen of the Prom Game,1960.0,48,134.0,1.0,"Roll / Spin and Move, Set Collection"
BRIDG-IT,1960.0,41,73.0,1.83,Tile Placement
Management,1960.0,41,165.0,2.5,"Auction/Bidding, Commodity Speculation, Paper-and-Pencil, Player Elimination, Simulation, Trading, Variable Set-up"
Dutch Blitz,1960.0,2548,5648.0,1.28,Pattern Building
Lie Detector,1960.0,105,291.0,1.31,Memory
Test Match,1960.0,72,96.0,1.0,
Trade Winds,1960.0,32,79.0,1.6,
Kimbo,1960.0,60,149.0,1.75,Roll / Spin and Move
Baseball Strategy,1960.0,214,501.0,1.79,"Memory, Rock-Paper-Scissors, Simulation"
Board and Table Games from Many Civilizations,1960.0,36,106.0,2.33,
Ten Commandments Bible Game,1960.0,52,115.0,1.2,"Cooperative Game, Pick-up and Deliver, Role Playing, Roll / Spin and Move, Set Collection"
Gazza! The Game,1960.0,197,341.0,1.08,"Card Drafting, Hand Management"
Air Empire,1961.0,31,105.0,2.14,Simulation
Broker,1961.0,383,920.0,2.07,"Auction/Bidding, Stock Holding"
Le Mans,1961.0,79,240.0,2.18,"Area Movement, Dice Rolling, Events, Paper-and-Pencil, Push Your Luck, Race, Variable Player Powers, Variable Set-up"
D-Day,1961.0,261,790.0,2.56,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation"
Battle-Cry,1961.0,345,839.0,1.63,"Dice Rolling, Grid Movement, Point to Point Movement, Roll / Spin and Move, Square Grid"
Summit,1961.0,115,406.0,2.0,"Action Points, Auction/Bidding, Simulation"
Civil War Game 1863,1961.0,68,184.0,1.63,"Grid Movement, Point to Point Movement, Square Grid, Static Capture"
Chancellorsville,1961.0,59,233.0,3.0,"Dice Rolling, Grid Movement, Hexagon Grid, Paper-and-Pencil, Ratio / Combat Results Table, Simulation"
Civil War,1961.0,60,169.0,1.87,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation, Turn Order: Progressive, Variable Set-up, Zone of Control"
Go: The International Travel Game,1961.0,146,260.0,1.76,"Pick-up and Deliver, Point to Point Movement, Roll / Spin and Move, Set Collection"
Monopoly: Dutch Edition,1961.0,41,85.0,1.0,"Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading"
Strat-O-Matic Baseball,1962.0,1073,1591.0,2.38,"Dice Rolling, Simulation"
Aggravation,1962.0,1094,2064.0,1.2,Roll / Spin and Move
Pass-out,1962.0,119,344.0,1.11,Roll / Spin and Move
WFF 'N PROOF,1962.0,61,260.0,3.89,"Dice Rolling, Memory"
Bowl and Score,1962.0,65,138.0,1.0,Dice Rolling
Squatter,1962.0,246,528.0,1.52,"Commodity Speculation, Roll / Spin and Move, Stock Holding, Trading"
The Battle of the Little Big Horn,1962.0,85,213.0,1.1,"Dice Rolling, Roll / Spin and Move"
APBA Professional Golf,1962.0,49,74.0,1.67,Dice Rolling
Waterloo,1962.0,417,1067.0,2.21,"Dice Rolling, Hexagon Grid"
Square Mile,1962.0,111,241.0,2.15,"Auction/Bidding, Modular Board"
Broadside,1962.0,390,846.0,1.75,"Grid Movement, Point to Point Movement, Secret Unit Deployment, Square Grid, Variable Set-up"
Bismarck,1962.0,320,766.0,2.9,"Dice Rolling, Grid Movement, Hidden Movement, Minimap Resolution, Paper-and-Pencil, Secret Unit Deployment, Simulation, Square Grid"
Dogfight,1962.0,434,908.0,1.45,"Card Drafting, Card Play Conflict Resolution, Dice Rolling, Grid Movement, Hand Management, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Square Grid, Variable Set-up"
Harry's Grand Slam Baseball Game,1962.0,405,525.0,1.12,"Hand Management, Simulation"
Password,1962.0,922,2206.0,1.52,Team-Based Game
Formula-1,1962.0,584,1036.0,1.67,"Area Movement, Dice Rolling, Events, Race, Scenario / Mission / Campaign Game, Simultaneous Action Selection"
Twixt,1962.0,2350,4926.0,2.37,"Connections, Network and Route Building"
4 CYTE (Foresight),1962.0,30,107.0,2.5,Tile Placement
Word Power,1963.0,46,270.0,1.25,"Betting and Bluffing, Roll / Spin and Move"
Mouse Trap,1963.0,2693,3408.0,1.11,Roll / Spin and Move
Kismet,1963.0,232,529.0,1.4,
High Hand,1963.0,42,250.0,1.8,"Card Drafting, Team-Based Game"
Combat,1963.0,32,57.0,1.17,"Acting, Modular Board, Point to Point Movement"
Breakaway Rider,1963.0,760,1082.0,1.28,Hand Management
Scarabeo,1963.0,322,610.0,2.0,Tile Placement
Stock Market Game,1963.0,318,597.0,1.95,"Commodity Speculation, Roll / Spin and Move, Stock Holding, Trading"
Stalingrad,1963.0,456,1106.0,2.39,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Haggle,1963.0,52,51.0,2.1,"Hand Management, Set Collection, Trading"
Krypto,1963.0,85,207.0,1.86,
The Match Game,1963.0,33,161.0,1.0,Team-Based Game
Equations,1963.0,32,122.0,3.0,Tile Placement
Railroader,1963.0,114,241.0,1.5,"Push Your Luck, Roll / Spin and Move, Tile Placement"
Sabotage,1963.0,34,112.0,1.25,"Hand Management, Pattern Building"
Focus,1963.0,749,1474.0,2.39,Grid Movement
What's That on My Head?,1963.0,39,42.0,2.25,
Wild Life,1964.0,190,448.0,1.53,"Roll / Spin and Move, Set Collection"
Pie Face,1964.0,433,1018.0,1.0,
Hands Down,1964.0,155,400.0,1.07,"Hand Management, Set Collection, Simultaneous Action Selection"
Phlounder,1964.0,66,472.0,1.25,Simultaneous Action Selection
Jeopardy!,1964.0,247,777.0,1.27,"Betting and Bluffing, Card Drafting"
Jumpin,1964.0,197,766.0,1.62,Grid Movement
Acquire,1964.0,18214,23111.0,2.5,"Hand Management, Investment, Market, Ownership, Square Grid, Stock Holding, Tile Placement, Victory Points as a Resource"
Midway,1964.0,831,1988.0,2.44,"Dice Rolling, Grid Movement, Hidden Movement, Movement Points, Paper-and-Pencil, Ratio / Combat Results Table, Secret Unit Deployment, Simulation, Square Grid"
